Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Micronesia, Fed. Sts.",FSM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.87405202,48.8701389,48.86147186,48.86929938,48.89195832,48.9056128,48.92064341,48.93956248,48.95145177,48.96044448,48.97523267,48.98719364,48.99381675,48.99904522,49.0099463,49.05320243,49.12247456,49.19023723,49.23106845,49.24710581,49.25752631,49.26716838,49.2786082,49.28625546,49.29216885,49.29972944,49.30362733,49.30906349,49.30990557,49.30678954,49.30377372,49.29949117,49.24533253,49.14835424,49.09411635,49.13168008,49.22056235,49.31838428,49.43360322,49.54410565,49.59224413,49.57926895,49.55353954,49.53624614,49.52619394,49.52586984,49.5417086,49.55538108,49.56303356,49.57355286,49.57894933,49.57872589,49.58237859,49.58613006,49.59183299,49.60168826,49.61382761,49.62419632,49.63805678,49.65657799,49.67976736,49.70609294,49.73284048,49.75873082
Gabon,GAB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.06070051,51.04933481,51.03603586,51.02198306,51.00976233,50.99783575,50.98371924,50.96981766,50.95631011,50.94042707,50.92265134,50.90430758,50.88568173,50.86873985,50.85295305,50.83712727,50.82161907,50.80561955,50.78980811,50.77486894,50.75893298,50.74274552,50.72525441,50.70571004,50.68615111,50.66738122,50.64838585,50.62904965,50.60926591,50.58938285,50.56936323,50.54906212,50.52764192,50.50629347,50.48614178,50.45661002,50.4176513,50.37751969,50.33467457,50.28909607,50.24239258,50.1916439,50.13468029,50.07428914,50.00620982,49.92542958,49.83374752,49.73234807,49.62611986,49.51606914,49.39989071,49.27983075,49.16080699,49.05126941,48.96476863,48.91331943,48.89713672,48.91162804,48.9433452,48.97758813,49.01702149,49.06788417,49.1206333,49.16714753
United Kingdom,GBR,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.69936473,51.66741892,51.63743054,51.61098288,51.58659711,51.56467694,51.5449253,51.52556661,51.50592602,51.48829985,51.4711223,51.45085172,51.43073834,51.41161754,51.39412655,51.380488,51.36887444,51.35941893,51.35402312,51.35094983,51.35123667,51.35517251,51.36059998,51.36826716,51.37813077,51.38706261,51.39480408,51.40206681,51.40745343,51.4091599,51.40970594,51.40953748,51.40680871,51.40116227,51.39282074,51.38287928,51.36909841,51.35044348,51.32847674,51.30305341,51.27524716,51.24652711,51.21455247,51.17829819,51.1409414,51.10392879,51.06742517,51.0307232,50.99154709,50.95448547,50.91979468,50.88525234,50.84875929,50.8111662,50.77669721,50.74220885,50.70853105,50.67808269,50.64985105,50.62485307,50.60745928,50.59739639,50.58361903,50.56514773
Georgia,GEO,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.6200965,52.58880788,52.55804897,52.5292321,52.49840519,52.46598917,52.58271483,52.83995628,53.08916925,53.33074395,53.44742321,53.45259464,53.46397698,53.46957746,53.47087372,53.47005827,53.46285503,53.44988754,53.4345824,53.42730659,53.40044381,53.34990514,53.301729,53.26372902,53.24083779,53.22329625,53.21003215,53.19359683,53.17438693,53.16738778,53.16901957,53.17317114,53.18756528,53.21919348,53.25368809,53.28344892,53.32161238,53.3623906,53.39665214,53.4312542,53.47554565,53.52544746,53.56499475,53.54118211,53.46394709,53.39110902,53.32605297,53.25388394,53.17537602,53.10028014,53.02725087,52.95682873,52.89181664,52.83385759,52.82440018,52.85688753,52.88397846,52.90227737,52.91521807,52.9345544,52.9608233,52.98290571,52.99628644,53.00441329
Ghana,GHA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.88582958,49.00029245,49.14180261,49.27539905,49.40276401,49.52116362,49.62830086,49.7280822,49.81999612,49.89943632,49.95911145,49.96943641,49.96266263,49.98083986,50.00337232,50.01615107,50.00045675,50.02391576,50.10380508,50.1864806,50.26214374,50.31533715,50.37547151,50.47617742,50.53303031,50.5270322,50.5205744,50.51062869,50.49763568,50.48238336,50.46336559,50.44117542,50.41807591,50.39172037,50.38600765,50.40014625,50.40908406,50.40778321,50.39820017,50.38843047,50.37134063,50.34553853,50.32003544,50.29800491,50.27763064,50.25815276,50.23859902,50.22099415,50.20451501,50.18918059,50.17447504,50.16054947,50.15240092,50.144936,50.13763834,50.13198566,50.12736047,50.12424285,50.12080248,50.11885875,50.12083597,50.12481485,50.12791602,50.13031334
Gibraltar,GIB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.20878013,52.09750308,51.86300508,51.49587647,51.14575748,50.83228775,50.53723904,50.29744081,50.07418977,49.87004052,49.74330148,49.68783479,49.66145738,49.64075767,49.62021671,49.59782648,49.58099567,49.57476091,49.5699491,49.55622336,49.5440941,49.55411361,49.51321761,49.41604575,49.33652911,49.26762921,49.21420052,49.15464063,49.07857143,48.9995666,48.9292382,48.88839484,48.95156801,49.0781031,49.21926545,49.37618561,49.51074897,49.64809171,49.80098422,49.94403322,50.09913125,50.25431983,50.30116162,50.24557436,50.20197799,50.17321214,50.15040389,50.15002,50.13816698,50.11518868,50.10555947,50.08674805,50.04975124,50.03856715,50.07395538,50.11377614,50.11515431,50.10122078,50.08270032,50.07189842,50.05350209,50.0535676,50.05053754,50.03365149
Guinea,GIN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.32876348,50.34916984,50.36603004,50.38197708,50.39610543,50.40761244,50.41567308,50.42097245,50.42695053,50.4376876,50.45867562,50.492789,50.54018424,50.59584402,50.65789284,50.7290313,50.80670902,50.88852364,50.96979641,51.04205581,51.09965413,51.14003616,51.16112209,51.16620228,51.15585022,51.12869353,51.08597907,51.03103127,50.97029951,50.91273606,50.85201864,50.7865945,50.72980206,50.67530294,50.62729685,50.57799269,50.52316671,50.57895095,50.65416585,50.65928048,50.70630602,50.85588352,50.95733283,50.94138861,50.94792021,50.98662883,51.0175149,51.01614294,51.0029515,50.98877663,50.9736895,50.95557325,50.9405218,50.92619645,50.90411365,50.87096179,50.82727034,50.78367906,50.73902832,50.68939803,50.64021598,50.59158702,50.54583764,50.50538342
"Gambia, The",GMB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.70724561,50.69486199,50.68196349,50.66943361,50.65875105,50.64958554,50.63921162,50.62683971,50.61594588,50.60542822,50.5937802,50.58339166,50.57559232,50.5683235,50.57555505,50.59723385,50.62051547,50.64362343,50.66882227,50.69804576,50.72795741,50.77499239,50.82054272,50.84964987,50.83656847,50.78087944,50.72476321,50.6694346,50.61212256,50.55414851,50.49903134,50.44899293,50.40952773,50.39172,50.4060928,50.44700541,50.49598536,50.54289971,50.5885979,50.63362022,50.67521646,50.7133399,50.74847772,50.75035578,50.72133232,50.69243686,50.66277332,50.62913519,50.59196657,50.55611492,50.5200862,50.48343219,50.45162236,50.42084947,50.39143105,50.36506944,50.34088467,50.32013513,50.30033752,50.28297453,50.27057162,50.25902339,50.24615742,50.23395626
Guinea-Bissau,GNB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.74452056,49.72294965,49.77108701,49.86723777,50.00939912,50.14870905,50.27990357,50.39903729,50.50636274,50.61458121,50.71991995,50.82396834,50.9262522,51.01566139,51.09609735,51.15920168,51.21010077,51.25437323,51.29241321,51.25012476,51.20606835,51.23313967,51.25618718,51.27476805,51.29021338,51.30287261,51.31339143,51.32129409,51.32502015,51.32613054,51.3263301,51.32524229,51.32035851,51.31037198,51.29664827,51.28130309,51.26371642,51.24483523,51.24701137,51.2626878,51.25722164,51.23685759,51.21398982,51.18735715,51.15756465,51.12628496,51.09381221,51.05875475,51.02366183,50.99077001,50.95959725,50.92786465,50.89467828,50.86163888,50.82902687,50.79760459,50.7679259,50.73873859,50.71095168,50.68428288,50.66017537,50.63785927,50.61375421,50.58953656
Equatorial Guinea,GNQ,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.84813597,50.82934211,50.8003892,50.76496901,50.72597732,50.68201078,50.63396094,50.58403108,50.54721319,50.59088086,50.70025713,50.78056881,50.80625618,50.80556954,50.81636024,50.85539183,50.94311594,51.01095524,51.02412263,51.05813635,51.07235522,51.04664085,51.02093171,50.97551849,50.91523625,50.86381644,50.8223502,50.78730571,50.75755294,50.73101111,50.70551113,50.68033829,50.65724647,50.63451972,50.54426732,50.38770197,50.22649522,50.06060406,49.8920179,49.72466868,49.52414461,49.29748217,49.08362783,48.88214355,48.69372122,48.52172827,48.36915104,48.23727306,48.12512123,48.02948396,47.94723551,47.82987416,47.68078376,47.54678879,47.42812406,47.32700655,47.24185036,47.17328396,47.11991484,47.07884131,47.10983184,47.1769373,47.22539984,47.28096527
Greece,GRC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.14676564,51.18292226,51.21921177,51.25797959,51.2968767,51.335264,51.37512132,51.40908143,51.43384009,51.45281486,51.46488426,51.46761777,51.46248544,51.45095016,51.42654943,51.39170613,51.35283701,51.30700117,51.25261055,51.19194995,51.12790728,51.06283113,50.99745351,50.93454962,50.87718326,50.82142624,50.76628861,50.71377499,50.66368807,50.61447933,50.56191096,50.5069072,50.45096631,50.39442167,50.34035488,50.29336982,50.25694649,50.22593916,50.19853329,50.18081908,50.17549655,50.18037095,50.1929552,50.21452255,50.24618332,50.2895591,50.34219505,50.40145632,50.46655462,50.53827526,50.61043887,50.67987614,50.74868873,50.80999092,50.86175796,50.90587353,50.93820856,50.96089421,50.97935527,50.99159979,51.00006355,51.01284637,51.06007518,51.12652915
Grenada,GRD,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,53.51704133,53.37763944,53.22845958,53.08209987,52.93864547,52.79762996,52.65979005,52.52432383,52.40167178,52.29199293,52.19244084,52.0982392,52.00305421,51.90323437,51.80050857,51.69659857,51.59483783,51.49435788,51.39389005,51.29039709,51.17252578,51.07643192,51.01622226,51.00176212,50.98375796,50.90379415,50.79341481,50.65656716,50.51212992,50.37591712,50.25896796,50.1784318,50.1266825,50.07193681,50.01647702,49.96444359,49.91415982,49.86309676,49.8173258,49.76456381,49.70306799,49.65535132,49.61332705,49.58524922,49.57905694,49.57099062,49.56842181,49.56366077,49.55280144,49.53774426,49.52428555,49.54315251,49.59451998,49.63615375,49.67788967,49.72264246,49.77160195,49.81682255,49.8596497,49.90058994,49.93086048,49.95907231,49.99840559,50.04002124
Greenland,GRL,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.11281285,48.94870645,48.73954427,48.56069042,48.40894431,48.29134124,48.11866316,47.88368102,47.66304856,47.45386115,47.24215345,47.04920502,46.85899335,46.6548525,46.4398132,46.21676059,46.01262886,45.86742797,45.77954719,45.71049617,45.67916018,45.67519076,45.66720555,45.65443213,45.622934,45.6050357,45.61579839,45.64776582,45.70630545,45.77923252,45.90190471,46.07147349,46.22539865,46.38113018,46.53321364,46.58170216,46.54574696,46.51519475,46.49787075,46.49591844,46.51502207,46.55233569,46.60125519,46.66126075,46.7168431,46.75233357,46.78495362,46.83289836,46.86627311,46.89947202,46.95036468,47.01357305,47.07023257,47.11440746,47.15564849,47.19026747,47.21010087,47.22679159,47.23498596,47.24392555,47.29232856,47.38367441,47.49052527,47.60164539
Guatemala,GTM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.85397838,48.86648483,48.88084684,48.89803106,48.91791208,48.94144983,48.96912305,48.99937582,49.0321028,49.06819404,49.10454543,49.13704129,49.16560843,49.18938624,49.21556412,49.24906486,49.27907969,49.31357407,49.36246855,49.41917617,49.48374781,49.56036576,49.68550852,49.79554178,49.84420851,49.88423745,49.92214831,49.95872444,49.99242452,50.02479768,50.05709549,50.09368612,50.13330368,50.1707407,50.19822344,50.21691407,50.23503397,50.25239375,50.26887441,50.28439821,50.2990995,50.31280201,50.32578901,50.33912721,50.35310816,50.36696629,50.38084889,50.39448459,50.40744447,50.4197193,50.43075692,50.44026499,50.44831193,50.45515489,50.46060327,50.46472722,50.46782875,50.47007541,50.47142534,50.47107686,50.47850227,50.49562191,50.51023016,50.51820067
Guam,GUM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,38.75148534,39.38651469,40.0161778,40.63198088,41.23580214,41.83415364,42.41746968,42.99353138,43.55995579,44.11214089,44.60588901,45.02624164,45.42369229,45.81598318,46.19589228,46.56205392,46.92390983,47.27902311,47.61801154,47.96827164,48.13484939,48.04320753,47.89696099,47.75882486,47.63998851,47.53639463,47.4376677,47.34720825,47.27267262,47.2255983,47.2946486,47.49429796,47.72408205,47.95006218,48.17407655,48.39900329,48.62111769,48.82589257,49.02051075,49.21304334,49.3145554,49.3078428,49.28243204,49.26156012,49.2427014,49.22763486,49.21572795,49.21493296,49.21900137,49.2283388,49.24896152,49.27527483,49.30585605,49.3361428,49.3664313,49.40051673,49.43390398,49.46502497,49.49785983,49.53150204,49.58547784,49.64112728,49.67515456,49.70165133
Guyana,GUY,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.12954772,50.11272568,50.12176915,50.13073886,50.14018243,50.15218231,50.16668149,50.18220495,50.19966846,50.21820068,50.23771341,50.25059392,50.25761987,50.26696718,50.27795814,50.29091055,50.30528709,50.32020888,50.33469553,50.34978218,50.36559853,50.37745964,50.38690984,50.39749631,50.40869477,50.42107184,50.43512885,50.45108982,50.46951019,50.49083739,50.51732261,50.53622113,50.51409534,50.46246666,50.41144906,50.36138616,50.31390539,50.2703218,50.2277662,50.18231853,50.13589337,50.09035165,50.04583578,50.03852414,50.07075,50.1049744,50.13799387,50.16992258,50.20115362,50.23241017,50.26486365,50.29896672,50.3336174,50.44151882,50.61595095,50.78069642,50.93987909,51.09321692,50.85510888,50.82071679,51.09156776,51.07492602,51.03619767,50.99442884
High income,HIC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.64785847,51.62276078,51.59979761,51.57743586,51.55677752,51.54421507,51.54158955,51.54442528,51.53972749,51.52586231,51.51315101,51.49370046,51.46892267,51.44866121,51.43005664,51.4129798,51.39762962,51.38157538,51.36644367,51.35251752,51.33465539,51.31474544,51.29721503,51.27814854,51.25887806,51.23763499,51.21125365,51.18215939,51.15329297,51.12489553,51.10202363,51.08308523,51.06462231,51.0508196,51.04150671,51.0371604,51.03327858,51.02710749,51.0187236,51.00888715,50.9985873,50.99408798,50.99546027,50.9974423,50.99856922,50.9914658,50.96809321,50.93135522,50.89022695,50.85545883,50.83434067,50.81146408,50.77843812,50.74695603,50.71887967,50.68069457,50.63931339,50.61021416,50.58747299,50.57295963,50.58304814,50.60271186,50.6047,50.60303108
"Hong Kong SAR, China",HKG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.45715647,48.48577771,48.55129762,48.62419266,48.69699607,48.76620927,48.82864521,48.88512688,48.93695767,48.98751714,49.03958765,49.00651714,48.87129987,48.720516,48.57205293,48.42218538,48.27171101,48.12608108,47.98641083,47.84869002,47.70920976,47.70354618,47.85787623,48.03408219,48.19287116,48.3372631,48.48722626,48.64592537,48.80393433,48.95626547,49.10061943,49.24067017,49.38058503,49.51354788,49.64111604,49.76311925,49.91685408,50.11576971,50.31929908,50.5187245,50.71570501,50.92862766,51.16375063,51.40533078,51.64893049,51.89193288,52.12223955,52.3297297,52.52607657,52.72434861,52.92773663,53.11534021,53.26546918,53.40473332,53.55267952,53.70277025,53.77960273,53.78692998,53.80128864,53.81777404,53.8434024,53.878644,53.92667647,53.98985719
Honduras,HND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.89327038,49.89121129,49.88651086,49.8800551,49.87491925,49.86970894,49.86205422,49.85336587,49.84315561,49.83188229,49.82030385,49.80789893,49.79514692,49.77987767,49.75426736,49.72318931,49.69503547,49.66845116,49.64293842,49.61870034,49.59639914,49.5753819,49.55689581,49.54125203,49.52696192,49.51203286,49.49742757,49.48571087,49.48220155,49.48504948,49.48706116,49.48833792,49.48965101,49.49095308,49.49166221,49.49116025,49.48963867,49.48676066,49.47421248,49.46185679,49.45772884,49.45412023,49.44940874,49.44316631,49.43895142,49.43508677,49.43012446,49.42543734,49.42124425,49.41819206,49.41702887,49.4184172,49.4220612,49.42779307,49.43373278,49.44012618,49.44786899,49.45608331,49.46485446,49.47403957,49.48528236,49.49865956,49.5118884,49.52360806
Heavily indebted poor countries (HIPC),HPC,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.40100191,50.40663279,50.40688765,50.40365728,50.40146797,50.39958815,50.39689164,50.39323789,50.38875678,50.38375819,50.3790818,50.37399438,50.37063977,50.36838073,50.36193217,50.35309445,50.34579752,50.34295752,50.34515007,50.34981001,50.356472,50.36555073,50.37512252,50.38376214,50.39253592,50.3928423,50.38537377,50.37553733,50.37268273,50.37254502,50.36732808,50.35818327,50.34715445,50.33602082,50.32680742,50.32337323,50.32621901,50.32854084,50.32830311,50.33039561,50.32662385,50.31999355,50.31070633,50.29702495,50.28395784,50.27207184,50.26009763,50.2480653,50.2379001,50.23121279,50.22407043,50.21572338,50.20841948,50.20079124,50.19308113,50.18344249,50.17244833,50.16297118,50.15674465,50.15358818,50.1513203,50.15052074,50.15124467,50.15099922
Croatia,HRV,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.48699744,52.43111107,52.36331249,52.28643098,52.20376762,52.11991359,52.0360082,51.95903834,51.89135234,51.83113957,51.7804684,51.73818408,51.70732936,51.68765967,51.67419612,51.66448736,51.65924148,51.6605286,51.66749968,51.67717048,51.68366614,51.68297909,51.672491,51.66108643,51.6547322,51.64807711,51.64055051,51.633353,51.63026724,51.63061207,51.63467972,51.66916365,51.71100475,51.7141818,51.6994555,51.70137921,51.73529009,51.78897956,51.85073516,51.92265308,52.00145808,52.0437636,52.04554317,52.04105947,52.03035998,52.01498708,51.99422306,51.96866122,51.94143203,51.90900316,51.86788601,51.8228603,51.7770244,51.72881235,51.67552449,51.61796694,51.56234352,51.50428137,51.44477146,51.38933282,51.33713087,51.31078154,51.29365679,51.26336589
Haiti,HTI,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.29384008,51.28852454,51.28208294,51.26925521,51.25412591,51.24224794,51.22910928,51.21437963,51.19835906,51.18092729,51.16176424,51.14176816,51.12102181,51.09907281,51.07518866,51.0493779,51.02161061,50.99205891,50.96219753,50.93079051,50.89557113,50.8582085,50.82091858,50.78333685,50.7450573,50.70865781,50.67682892,50.64607015,50.6147141,50.58416214,50.5528039,50.52505252,50.50144467,50.47773328,50.45390178,50.4315935,50.41294789,50.39602424,50.38059045,50.36809255,50.35781932,50.34885983,50.34146329,50.33576574,50.32911383,50.32470725,50.32510321,50.32644696,50.32842495,50.33110881,50.3118701,50.29553022,50.30375804,50.31326727,50.32504413,50.33805681,50.35280971,50.36913832,50.38567814,50.40402536,50.42458075,50.44492853,50.46428156,50.48345967
Hungary,HUN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.7558935,51.72529563,51.69958453,51.67741758,51.65626971,51.63532101,51.61194818,51.58774138,51.56558677,51.54481695,51.53725035,51.54450825,51.54884294,51.54871405,51.54802372,51.54435209,51.53878033,51.53699935,51.54030122,51.54403723,51.56359023,51.60089021,51.63854318,51.67896722,51.72767814,51.77491574,51.81576375,51.85475632,51.8924045,51.93505004,51.97975827,52.02072879,52.06647792,52.11860173,52.17113302,52.22054563,52.26130639,52.29620794,52.33620769,52.37616732,52.41191113,52.44280408,52.47121197,52.49662435,52.51549533,52.51797161,52.51472522,52.51769415,52.51636403,52.5075238,52.49835658,52.46498001,52.42132055,52.39738408,52.37076254,52.33222534,52.29538067,52.25451865,52.19060104,52.12146263,52.07965727,52.06604965,51.98956428,51.92313808
IBRD only,IBD,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.72548541,49.72762586,49.72248911,49.71110409,49.70039139,49.6931312,49.68545894,49.67773115,49.66947851,49.66036429,49.65455214,49.6445884,49.62798379,49.61208186,49.59769604,49.58634143,49.58064175,49.57639365,49.57093425,49.56841563,49.56586846,49.56130784,49.56013441,49.56376197,49.56883317,49.57482562,49.57514353,49.56787482,49.55991592,49.55101141,49.54134665,49.53240395,49.52599806,49.52300036,49.51917438,49.51407423,49.5079663,49.49852394,49.48807473,49.47846576,49.46782823,49.45912167,49.45311231,49.44752596,49.44252178,49.43860973,49.43520384,49.43198124,49.43009583,49.42922994,49.42824435,49.4270718,49.42611614,49.42582471,49.4252746,49.42501003,49.42817668,49.4343042,49.44099791,49.44927431,49.46269873,49.48157258,49.49585636,49.51052172
IDA & IBRD total,IBT,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.67639832,49.6800992,49.67749491,49.66957532,49.66224134,49.65769868,49.6527385,49.6478996,49.64272785,49.63663097,49.63290315,49.63139616,49.62432501,49.6120061,49.60051754,49.59316947,49.5916572,49.59073649,49.5897951,49.59154346,49.5900139,49.58608701,49.58666246,49.59123101,49.59720556,49.60354403,49.60489245,49.60026425,49.59587741,49.59009247,49.58227143,49.57483328,49.56985352,49.56786674,49.56543957,49.56295901,49.56065456,49.55593251,49.55062833,49.54615962,49.54020744,49.53567686,49.53363365,49.53219126,49.5315125,49.53220969,49.53428704,49.53681362,49.54074102,49.54554666,49.54916789,49.55207473,49.55500124,49.55834134,49.56136435,49.5666949,49.57641428,49.58724096,49.59786966,49.6095581,49.62360836,49.64048454,49.65443316,49.66838009
IDA total,IDA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.43923109,49.4535196,49.46452557,49.47336907,49.48248233,49.49129317,49.49947831,49.50866163,49.51832374,49.52660991,49.53280581,49.57044504,49.6074539,49.61165829,49.61339825,49.62414467,49.64130731,49.65491069,49.67344477,49.69313676,49.69510957,49.69301561,49.70011248,49.70762056,49.71633335,49.72301432,49.72756993,49.73271738,49.74173943,49.74724322,49.74540589,49.74246565,49.74133915,49.74128699,49.74225032,49.74770779,49.7575331,49.76810721,49.77929016,49.79077332,49.79853822,49.8054241,49.81356365,49.8226246,49.83288539,49.84515659,49.86119298,49.87800986,49.89620905,49.91442525,49.927448,49.93796408,49.94819486,49.95834251,49.96788105,49.98534087,50.00930165,50.02831554,50.0442791,50.05921642,50.06810767,50.07219785,50.07739068,50.08233523
IDA blend,IDB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.70652387,48.73785247,48.76141218,48.78017644,48.80033518,48.8204848,48.83928017,48.8622293,48.88914107,48.9137561,48.93491996,48.9625798,48.98827991,49.00279736,49.0162249,49.03096012,49.04857785,49.0738947,49.11349769,49.15328359,49.14675933,49.13523734,49.15211009,49.17027412,49.18778845,49.20168513,49.21444228,49.23005237,49.24820538,49.25905132,49.26518749,49.27344579,49.2837328,49.2922864,49.29592573,49.29909338,49.3045744,49.31132774,49.31716052,49.32172746,49.32709668,49.3301712,49.33039936,49.33142236,49.3348565,49.3401047,49.34590096,49.3529517,49.36143458,49.37009495,49.38013246,49.39126428,49.40126679,49.41042812,49.41975904,49.460371,49.53057748,49.58955248,49.63362304,49.66939942,49.69534807,49.71332143,49.72403672,49.72823626
Indonesia,IDN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.12151165,50.1065429,50.08910072,50.0710272,50.05675446,50.09080263,50.12902383,50.12351268,50.11408829,50.10528203,50.09703338,50.08993669,50.0827696,50.07491437,50.06671841,50.05823156,50.0503241,50.04283428,50.0340026,50.0225073,50.009216,49.99351985,49.97495243,49.95666778,49.93773253,49.91745606,49.89908935,49.88055078,49.86202112,49.84574056,49.83045333,49.8139789,49.79677014,49.78308992,49.77052692,49.7572688,49.74484291,49.73366134,49.72279971,49.7141598,49.70630009,49.69846615,49.69070681,49.68375421,49.67566962,49.66569939,49.66064442,49.65627847,49.64978541,49.64555196,49.64159076,49.63517337,49.62907301,49.6271043,49.62683121,49.62509761,49.62393878,49.62344941,49.6243418,49.62645884,49.63267731,49.64351776,49.654228,49.66102546
IDA only,IDX,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.76315186,49.76972282,49.77498632,49.77939059,49.78358745,49.7873774,49.79093601,49.79400458,49.79594848,49.7970368,49.79692784,49.83982768,49.88266296,49.88274112,49.87985741,49.88982792,49.90819138,49.91800073,49.92810603,49.93984145,49.94858164,49.95450487,49.95931645,49.96278837,49.96791164,49.97221489,49.97424327,49.97575401,49.98181436,49.98597332,49.98137151,49.97403683,49.96735667,49.96272213,49.96249137,49.96943999,49.98198389,49.99504455,50.00947472,50.0249052,50.03476914,50.04448495,50.05658502,50.0693351,50.08300544,50.09875042,50.1198181,50.14163015,50.16510685,50.18868654,50.20387371,50.21446618,50.22472946,50.23522492,50.24459814,50.24981114,50.24962118,50.24781809,50.2491344,50.25310295,50.25303717,50.24986678,50.25209973,50.2572712
Isle of Man,IMN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,54.10407231,54.15926645,54.14945859,54.10636869,54.0536726,53.98645544,53.87633582,53.71054107,53.52485352,53.33370303,53.13754566,52.97620102,52.85358505,52.74067724,52.63522533,52.54299488,52.47360011,52.41602445,52.3623121,52.30640157,52.2461029,52.20576846,52.18393294,52.15796155,52.13178295,52.11724866,52.08388104,52.00903072,51.92988775,51.84971952,51.77376026,51.72567006,51.69044334,51.63908924,51.58663178,51.53245445,51.46496992,51.40466803,51.3353317,51.23346012,51.11828697,51.01442446,50.92831323,50.84617457,50.76070516,50.6806019,50.6045271,50.51787916,50.43843067,50.38654043,50.3483323,50.34973325,50.38416846,50.41714204,50.44459807,50.4575742,50.4613541,50.4582436,50.4529991,50.45691206,50.46641125,50.47055054,50.47385795,50.48164325
India,IND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.39483888,48.38181031,48.36972803,48.35824889,48.34717889,48.33711749,48.32770588,48.31845576,48.30896365,48.29880406,48.2884787,48.27730401,48.2653173,48.25338252,48.24131533,48.22960502,48.21918092,48.21178947,48.20856873,48.2088563,48.21173552,48.21633544,48.22293889,48.23162704,48.24118453,48.25113509,48.26136737,48.27115573,48.28127164,48.29287064,48.30456203,48.31343123,48.3186968,48.3202562,48.31745837,48.31035444,48.30073516,48.29039203,48.27985792,48.27060711,48.26291454,48.25705407,48.2538354,48.25233442,48.25233719,48.25414571,48.25785093,48.26338432,48.27015696,48.27789879,48.28639484,48.29568755,48.30552804,48.31490115,48.32272625,48.32863253,48.33373349,48.33923196,48.34568866,48.35378254,48.36693679,48.38575642,48.40570567,48.42242306
Not classified,INX,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.72055095,49.75904924,49.77265028,49.77622872,49.77927255,49.78738964,49.79408811,49.79580226,49.79678533,49.80416045,49.81565115,49.81779129,49.80928985,49.80184669,49.7952316,49.78509582,49.77311103,49.76043595,49.75772718,49.77517216,49.79652868,49.82604961,49.87404425,49.92224085,49.96463694,50.01165222,50.06936091,50.14742294,50.25105559,50.31616443,50.31394048,50.2926411,50.28252447,50.28871591,50.32320072,50.35857144,50.36875528,50.36899578,50.35805089,50.34081451,50.31414585,50.30770291,50.32822684,50.31766701,50.23747791,50.10438667,49.98750828,49.99341718,50.10771738,50.23805545,50.33405274,50.40784456,50.45903758,50.48369607,50.52454833,50.53238915,50.50992538,50.49339313,50.47451581,50.46712441,50.45980495,50.44808751,50.43925983,50.43088353
